Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras
Aguascalientes,372,124,0,N.A.,0,N.A.,1,N.A.,7
Baja California,589,456,40,21,N.A.,N.A.,11,2,129
Baja California Sur,302,46,36,N.A.,N.A.,N.A.,6,1,N.A.
Campeche,308,19,31,53,2,22,0,3,52
Coahuila,496,431,31,127,0,N.A.,4,N.A.,110
Colima,206,74,13,N.A.,0,N.A.,3,2,12
Chiapas,798,16,33,303,N.A.,11,10,1,3
Chihuahua,1 301,714,61,183,N.A.,N.A.,3,N.A.,195
Distrito Federal,6 424,248,427,0,3,50,35,15,102
Durango,1 119,44,12,167,0,N.A.,0,N.A.,1
Guanajuato,2 512,423,50,1,N.A.,34,6,N.A.,51
Guerrero,1 548,270,100,2,N.A.,N.A.,0,0,N.A.
Hidalgo,1 852,74,37,150,23,18,0,N.A.,7
Jalisco,2 223,997,35,1,0,0,2,1,362
M‚xico,7 579,331,167,0,154,N.A.,55,N.A.,258
Michoac n,1 630,294,38,405,N.A.,N.A.,1,4,N.A.
Morelos,783,104,9,0,N.A.,N.A.,0,N.A.,N.A.
Nayarit,370,92,18,100,5,N.A.,0,0,0
Nuevo Le¢n,1 374,379,5,0,N.A.,9,3,N.A.,543
Oaxaca,1 134,56,56,933,1,41,1,19,9
Puebla,3 511,381,48,330,0,14,4,N.A.,211
Quer‚taro,417,264,32,0,0,N.A.,0,N.A.,2
Quintana Roo,594,223,30,N.A.,N.A.,N.A.,0,0,N.A.
San Luis Potos¡,1 360,308,24,425,N.A.,0,0,N.A.,4
Sinaloa,549,88,46,179,5,0,4,6,167
Sonora,1 448,209,30,0,N.A.,N.A.,4,0,149
Tabasco,557,11,7,N.A.,N.A.,80,1,0,33
Tamaulipas,1 097,106,32,147,4,95,4,0,12
Tlaxcala,648,46,12,0,0,N.A.,0,N.A.,0
Veracruz,2 663,288,44,532,1,143,1,10,N.A.
Yucat n,761,142,18,327,1,N.A.,3,1,4
Zacatecas,370,75,18,186,0,N.A.,1,N.A.,3
